frame_idx,model_label,preprocess_ms,inference_ms,postprocess_ms,total_ms,detections,confidence_mean,gpu_mem_mb,cpu_percent
267,yolo_fasternet,2.081,40.154,0.25,42.805,7,0.8303,0.0,50.0
268,yolo_fasternet,1.576,40.142,0.255,42.219,7,0.8227,0.0,52.8
269,yolo_fasternet,1.582,40.226,0.259,42.313,7,0.837,0.0,50.0
270,yolo_fasternet,1.571,39.409,0.253,41.476,7,0.8246,0.0,51.5
271,yolo_fasternet,1.596,40.054,0.246,42.138,7,0.8438,0.0,51.4
272,yolo_fasternet,2.083,40.11,0.249,42.745,7,0.8565,0.0,51.4
273,yolo_fasternet,1.574,39.939,0.249,42.003,7,0.8012,0.0,54.3
274,yolo_fasternet,1.602,39.748,0.26,41.847,7,0.7933,0.0,50.0
275,yolo_fasternet,2.049,40.347,0.258,42.957,7,0.8375,0.0,52.8
276,yolo_fasternet,1.593,40.316,0.259,42.432,7,0.8909,0.0,51.5
277,yolo_fasternet,1.621,41.354,0.274,43.507,7,0.8874,0.0,51.4
278,yolo_fasternet,1.618,41.274,0.263,43.402,7,0.864,0.0,51.4
279,yolo_fasternet,1.631,41.038,0.27,43.188,7,0.8685,0.0,51.4
280,yolo_fasternet,2.056,40.102,0.25,42.724,7,0.8634,0.0,51.4
281,yolo_fasternet,1.587,40.127,0.25,42.204,8,0.7979,0.0,50.0
282,yolo_fasternet,1.583,40.69,0.252,42.775,8,0.7935,0.0,54.3
283,yolo_fasternet,2.063,40.614,0.256,43.239,7,0.8277,0.0,51.4
284,yolo_fasternet,1.821,48.007,0.254,50.37,8,0.7843,0.0,51.2
285,yolo_fasternet,1.563,39.893,0.258,41.96,8,0.6987,0.0,52.9
286,yolo_fasternet,1.6,39.926,0.253,42.026,8,0.7541,0.0,50.0
287,yolo_fasternet,2.054,40.083,0.256,42.712,9,0.6984,0.0,51.4
288,yolo_fasternet,1.613,39.692,0.261,41.818,8,0.7769,0.0,52.9
289,yolo_fasternet,2.041,41.959,0.252,44.574,8,0.7972,0.0,52.8
290,yolo_fasternet,1.549,52.023,0.258,54.09,8,0.8019,0.0,66.7
291,yolo_fasternet,2.195,41.44,0.278,44.272,8,0.7913,0.0,54.3
292,yolo_fasternet,1.584,43.865,0.276,45.975,7,0.8123,0.0,54.1
293,yolo_fasternet,1.616,40.885,0.27,43.027,7,0.7847,0.0,52.8
294,yolo_fasternet,1.647,40.966,0.257,43.125,8,0.7255,0.0,48.6
295,yolo_fasternet,1.821,51.038,0.256,53.386,9,0.7041,0.0,52.3
