frame_idx,model_label,preprocess_ms,inference_ms,postprocess_ms,total_ms,detections,confidence_mean,gpu_mem_mb,cpu_percent
293,yolo26n,1.323,48.25,0.203,49.987,7,0.616,0.0,51.2
294,yolo26n,1.396,48.16,0.21,49.99,7,0.606,0.0,50.0
295,yolo26n,1.341,48.872,0.228,50.653,9,0.5329,0.0,52.4
296,yolo26n,1.678,50.657,0.229,52.844,9,0.5455,0.0,54.8
297,yolo26n,1.355,48.631,0.211,50.436,7,0.6104,0.0,50.0
298,yolo26n,1.322,49.61,0.204,51.354,6,0.6512,0.0,51.2
299,yolo26n,1.328,48.543,0.207,50.291,6,0.6467,0.0,52.4
300,yolo26n,1.371,48.533,0.205,50.331,10,0.4952,0.0,51.2
301,yolo26n,1.549,49.38,0.203,51.395,12,0.4781,0.0,52.4
302,yolo26n,1.415,48.207,0.222,50.069,9,0.5314,0.0,51.2
303,yolo26n,1.366,49.059,0.206,50.845,10,0.5151,0.0,51.2
304,yolo26n,1.633,51.171,0.212,53.291,9,0.5167,0.0,54.8
305,yolo26n,1.619,48.853,0.206,50.9,8,0.5698,0.0,51.2
306,yolo26n,1.279,48.664,0.204,50.365,8,0.5877,0.0,51.2
307,yolo26n,1.328,49.096,0.211,50.847,7,0.5789,0.0,52.4
308,yolo26n,1.303,49.011,0.227,50.754,7,0.5697,0.0,50.0
309,yolo26n,1.384,49.495,0.206,51.328,8,0.509,0.0,51.2
310,yolo26n,1.375,48.203,0.234,50.037,7,0.5928,0.0,51.2
311,yolo26n,1.359,48.881,0.203,50.658,7,0.6018,0.0,51.2
312,yolo26n,1.641,48.472,0.205,50.595,8,0.5415,0.0,51.2
313,yolo26n,1.318,48.663,0.206,50.392,9,0.5029,0.0,51.2
314,yolo26n,1.311,48.531,0.235,50.293,10,0.5087,0.0,51.2
315,yolo26n,1.359,48.459,0.203,50.236,12,0.4701,0.0,51.2
316,yolo26n,1.357,48.209,0.209,49.994,11,0.477,0.0,51.2
317,yolo26n,1.318,48.184,0.212,49.924,10,0.5571,0.0,51.2
318,yolo26n,1.314,48.818,0.202,50.545,10,0.5331,0.0,50.0
319,yolo26n,1.325,48.556,0.224,50.315,9,0.5458,0.0,51.2
320,yolo26n,1.467,55.627,0.203,57.546,11,0.4937,0.0,51.1
321,yolo26n,1.326,49.459,0.204,51.201,10,0.5279,0.0,51.2
322,yolo26n,1.411,48.642,0.204,50.464,11,0.5028,0.0,51.2
323,yolo26n,1.358,51.891,0.206,53.672,13,0.4586,0.0,55.6
324,yolo26n,1.286,51.066,0.204,52.77,13,0.4488,0.0,52.4
325,yolo26n,1.334,49.19,0.203,50.939,12,0.4601,0.0,52.5
326,yolo26n,1.345,53.101,0.203,54.865,12,0.4503,0.0,55.6
327,yolo26n,1.31,50.845,0.258,52.643,11,0.5358,0.0,56.8
328,yolo26n,1.846,58.59,0.202,60.938,11,0.5527,0.0,64.6
329,yolo26n,1.335,48.441,0.202,50.186,11,0.5267,0.0,51.2
330,yolo26n,1.288,48.553,0.202,50.277,10,0.5467,0.0,50.0
331,yolo26n,1.301,48.716,0.222,50.448,10,0.5566,0.0,52.4
332,yolo26n,1.34,49.64,0.2,51.411,10,0.5122,0.0,50.0
333,yolo26n,1.327,49.095,0.203,50.852,15,0.4509,0.0,52.4
334,yolo26n,1.327,48.426,0.239,50.213,10,0.555,0.0,50.0
335,yolo26n,1.402,48.84,0.216,50.712,11,0.5525,0.0,51.2
336,yolo26n,1.804,56.117,0.202,58.38,12,0.5647,0.0,55.3
337,yolo26n,1.373,49.287,0.199,51.079,12,0.573,0.0,52.4
338,yolo26n,1.333,48.911,0.206,50.681,13,0.5457,0.0,51.2
339,yolo26n,1.33,48.911,0.203,50.652,13,0.5013,0.0,51.2
340,yolo26n,1.346,48.476,0.208,50.248,11,0.5427,0.0,51.2
341,yolo26n,1.381,49.171,0.229,50.999,10,0.5756,0.0,51.2
342,yolo26n,1.384,51.051,0.205,52.856,13,0.4949,0.0,53.5
343,yolo26n,1.305,50.215,0.21,51.945,10,0.5782,0.0,52.4
344,yolo26n,1.69,48.699,0.207,50.876,9,0.602,0.0,51.2
345,yolo26n,1.331,54.082,0.342,56.025,9,0.608,0.0,56.5
346,yolo26n,1.513,58.413,0.216,60.394,7,0.6756,0.0,61.2
347,yolo26n,1.365,48.616,0.2,50.392,9,0.617,0.0,51.2
348,yolo26n,1.346,48.422,0.203,50.197,9,0.6162,0.0,50.0
349,yolo26n,1.431,49.084,0.219,50.961,9,0.5919,0.0,52.4
